(10, 10)
(10, 11)
(10, 110)
(10, 112)
(10, 12)
(10, 13)
(10, 14)
(10, 15)
(10, 16)
(10, 17)
(10, 18)
(10, 19)
(10, 2)
(10, 20)
(10, 21)
(10, 22)
(10, 23)
(10, 24)
(10, 25)
(10, 26)
(10, 27)
(10, 28)
(10, 29)
(10, 3)
(10, 30)
(10, 31)
(10, 32)
(10, 4)
(10, 5)
(10, 6)
(10, 7)
(10, 76)
(10, 8)
(10, 9)
(100, 1)
(100, 10)
(100, 114)
(100, 14)
(100, 19)
(100, 28)
(100, 36)
(100, 44)
(100, 46)
(100, 5)
(100, 51)
(100, 53)
(100, 62)
(100, 64)
(100, 87)
(100, 88)
(100, 95)
(100, 99)
(101, 1)
(101, 10)
(101, 114)
(101, 14)
(101, 19)
(101, 28)
(101, 36)
(101, 44)
(101, 46)
(101, 5)
(101, 51)
(101, 53)
(101, 62)
(101, 64)
(101, 65)
(101, 66)
(101, 67)
(101, 68)
(101, 69)
(101, 70)
(101, 71)
(101, 72)
(101, 73)
(101, 74)
(101, 75)
(101, 76)
(101, 77)
(101, 78)
(101, 79)
(101, 80)
(101, 81)
(101, 82)
(101, 83)
(101, 84)
(101, 85)
(101, 86)
(101, 87)
(101, 88)
(101, 89)
(101, 90)
(101, 95)
(101, 99)
(102, 1)
(102, 10)
(102, 114)
(102, 14)
(102, 19)
(102, 28)
(102, 36)
(102, 44)
(102, 46)
(102, 5)
(102, 51)
(102, 53)
(102, 62)
(102, 64)
(102, 65)
(102, 87)
(102, 88)
(102, 90)
(102, 95)
(102, 99)
(103, 1)
(103, 10)
(103, 114)
(103, 14)
(103, 19)
(103, 20)
(103, 21)
(103, 22)
(103, 23)
(103, 24)
(103, 25)
(103, 26)
(103, 27)
(103, 28)
(103, 29)
(103, 30)
(103, 31)
(103, 32)
(103, 33)
(103, 34)
(103, 35)
(103, 36)
(103, 37)
(103, 38)
(103, 39)
(103, 40)
(103, 41)
(103, 42)
(103, 43)
(103, 44)
(103, 45)
(103, 46)
(103, 47)
(103, 48)
(103, 49)
(103, 5)
(103, 50)
(103, 51)
(103, 52)
(103, 53)
(103, 54)
(103, 55)
(103, 56)
(103, 57)
(103, 58)
(103, 59)
(103, 60)
(103, 61)
(103, 62)
(103, 63)
(103, 64)
(103, 65)
(103, 87)
(103, 88)
(103, 90)
(103, 95)
(103, 99)
(104, 1)
(104, 10)
(104, 114)
(104, 14)
(104, 28)
(104, 36)
(104, 44)
(104, 46)
(104, 5)
(104, 51)
(104, 53)
(104, 62)
(104, 65)
(104, 87)
(104, 88)
(104, 90)
(104, 95)
(104, 99)
(105, 1)
(105, 10)
(105, 100)
(105, 101)
(105, 102)
(105, 103)
(105, 104)
(105, 105)
(105, 106)
(105, 107)
(105, 108)
(105, 109)
(105, 110)
(105, 111)
(105, 112)
(105, 113)
(105, 114)
(105, 14)
(105, 28)
(105, 36)
(105, 44)
(105, 46)
(105, 5)
(105, 51)
(105, 53)
(105, 54)
(105, 55)
(105, 56)
(105, 57)
(105, 58)
(105, 59)
(105, 60)
(105, 61)
(105, 62)
(105, 63)
(105, 64)
(105, 65)
(105, 66)
(105, 67)
(105, 68)
(105, 69)
(105, 70)
(105, 71)
(105, 72)
(105, 73)
(105, 74)
(105, 75)
(105, 76)
(105, 77)
(105, 78)
(105, 79)
(105, 80)
(105, 81)
(105, 82)
(105, 83)
(105, 84)
(105, 85)
(105, 86)
(105, 87)
(105, 88)
(105, 89)
(105, 90)
(105, 91)
(105, 92)
(105, 93)
(105, 94)
(105, 95)
(105, 96)
(105, 97)
(105, 98)
(105, 99)
(106, 1)
(106, 10)
(106, 14)
(106, 16)
(106, 17)
(106, 18)
(106, 19)
(106, 20)
(106, 21)
(106, 22)
(106, 23)
(106, 24)
(106, 25)
(106, 26)
(106, 27)
(106, 28)
(106, 29)
(106, 30)
(106, 31)
(106, 32)
(106, 33)
(106, 34)
(106, 35)
(106, 36)
(106, 37)
(106, 38)
(106, 39)
(106, 44)
(106, 46)
(106, 5)
(106, 51)
(106, 62)
(106, 65)
(106, 87)
(106, 88)
(106, 90)
(106, 95)
(106, 99)
(107, 1)
(107, 10)
(107, 14)
(107, 16)
(107, 28)
(107, 36)
(107, 37)
(107, 38)
(107, 39)
(107, 40)
(107, 41)
(107, 42)
(107, 43)
(107, 44)
(107, 45)
(107, 46)
(107, 47)
(107, 48)
(107, 49)
(107, 5)
(107, 50)
(107, 51)
(107, 52)
(107, 53)
(107, 54)
(107, 55)
(107, 56)
(107, 57)
(107, 58)
(107, 59)
(107, 60)
(107, 61)
(107, 62)
(107, 63)
(107, 64)
(107, 65)
(107, 66)
(107, 67)
(107, 68)
(107, 69)
(107, 70)
(107, 71)
(107, 72)
(107, 73)
(107, 74)
(107, 75)
(107, 76)
(107, 77)
(107, 78)
(107, 79)
(107, 80)
(107, 81)
(107, 82)
(107, 83)
(107, 84)
(107, 85)
(107, 86)
(107, 87)
(107, 88)
(107, 90)
(107, 95)
(107, 99)
(108, 1)
(108, 10)
(108, 14)
(108, 16)
(108, 28)
(108, 39)
(108, 44)
(108, 46)
(108, 5)
(108, 51)
(108, 62)
(108, 65)
(108, 88)
(108, 90)
(108, 95)
(108, 99)
(109, 1)
(109, 10)
(109, 11)
(109, 12)
(109, 13)
(109, 14)
(109, 15)
(109, 16)
(109, 17)
(109, 18)
(109, 19)
(109, 20)
(109, 21)
(109, 22)
(109, 23)
(109, 24)
(109, 25)
(109, 26)
